id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
M3U7BqZ9/,M3U7BqZ922,22,17,Foul by Alexandre Pato (Villarreal).,3,NA,1,Villarreal,Barcelona,alexandre pato,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ923,23,18,Attempt missed. Andre Gomes (Barcelona) right footed shot from outside the box is just a bit too high.,1,NA,2,Barcelona,Villarreal,andre gomes,NA,NA,NA,1,2,0,15,1,0,1,0
M3U7BqZ9/,M3U7BqZ924,24,19,Foul by Jaume Costa (Villarreal).,3,NA,1,Villarreal,Barcelona,jaume costa,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ925,25,19,Sergi Roberto (Barcelona) wins a free kick in the defensive half.,8,NA,2,Barcelona,Villarreal,sergi roberto,NA,NA,NA,NA,NA,0,2,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ926,26,19,Attempt saved. Nicola Sansone (Villarreal) right footed shot from outside the box is saved in the centre of the goal. Assisted by Mateo Musacchio.,1,12,1,Villarreal,Barcelona,nicola sansone,mateo musacchio,NA,NA,5,1,0,15,1,1,1,0
M3U7BqZ9/,M3U7BqZ927,27,20,Foul by Mateo Musacchio (Villarreal).,3,NA,1,Villarreal,Barcelona,mateo musacchio,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ928,28,20,Lionel Messi (Barcelona) wins a free kick in the defensive half.,8,NA,2,Barcelona,Villarreal,lionel messi,NA,NA,NA,NA,NA,0,2,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ929,29,21,Foul by Luis Suarez (Barcelona).,3,NA,2,Barcelona,Villarreal,luis suarez,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ930,30,21,Jaume Costa (Villarreal) wins a free kick in the attacking half.,8,NA,1,Villarreal,Barcelona,jaume costa,NA,NA,NA,NA,NA,0,1,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ931,31,21,Attempt saved. Nicola Sansone (Villarreal) right footed shot from outside the box is saved in the bottom left corner. Assisted by Roberto Soriano.,1,12,1,Villarreal,Barcelona,nicola sansone,roberto soriano,NA,NA,3,1,0,15,1,1,1,0
M3U7BqZ9/,M3U7BqZ932,32,22,Alexandre Pato (Villarreal) wins a free kick in the defensive half.,8,NA,1,Villarreal,Barcelona,alexandre pato,NA,NA,NA,NA,NA,0,2,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ933,33,22,Foul by Sergio Busquets (Barcelona).,3,NA,2,Barcelona,Villarreal,sergio busquets,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ935,35,22,Roberto Soriano (Villarreal) wins a free kick on the left wing.,8,NA,1,Villarreal,Barcelona,roberto soriano,NA,NA,NA,NA,NA,0,4,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ936,36,24,"Attempt missed. Neymar (Barcelona) right footed shot from outside the box is close, but misses to the right. Assisted by Lucas Digne.",1,12,2,Barcelona,Villarreal,neymar,lucas digne,NA,NA,9,2,0,15,1,1,1,0
M3U7BqZ9/,M3U7BqZ937,37,28,"Offside, Villarreal. Alexandre Pato tries a through ball, but Roberto Soriano is caught offside.",9,13,1,Villarreal,Barcelona,roberto soriano,alexandre pato,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ938,38,30,Foul by Javier Mascherano (Barcelona).,3,NA,2,Barcelona,Villarreal,javier mascherano,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ939,39,30,Nicola Sansone (Villarreal) wins a free kick in the defensive half.,8,NA,1,Villarreal,Barcelona,nicola sansone,NA,NA,NA,NA,NA,0,2,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ940,40,31,Attempt saved. Andres Iniesta (Barcelona) left footed shot from outside the box is saved in the centre of the goal. Assisted by Lionel Messi.,1,12,2,Barcelona,Villarreal,andres iniesta,lionel messi,NA,NA,5,1,0,15,2,1,1,0
M3U7BqZ9/,M3U7BqZ941,41,33,Attempt blocked. Neymar (Barcelona) right footed shot from the centre of the box is blocked. Assisted by Luis Suarez.,1,12,2,Barcelona,Villarreal,neymar,luis suarez,NA,NA,2,3,0,3,1,1,1,0
M3U7BqZ9/,M3U7BqZ942,42,36,"Offside, Barcelona. Andres Iniesta tries a through ball, but Luis Suarez is caught offside.",9,13,2,Barcelona,Villarreal,luis suarez,andres iniesta,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ943,43,37,Foul by Nicola Sansone (Villarreal).,3,NA,1,Villarreal,Barcelona,nicola sansone,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ944,44,37,Javier Mascherano (Barcelona) wins a free kick in the defensive half.,8,NA,2,Barcelona,Villarreal,javier mascherano,NA,NA,NA,NA,NA,0,2,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ945,45,38,"Offside, Barcelona. Neymar tries a through ball, but Luis Suarez is caught offside.",9,13,2,Barcelona,Villarreal,luis suarez,neymar,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ946,46,43,"Corner,  Barcelona. Conceded by Victor Ruiz.",2,NA,2,Barcelona,Villarreal,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ947,47,43,Attempt saved. Lionel Messi (Barcelona) header from the centre of the box is saved in the top centre of the goal. Assisted by Neymar with a cross.,1,12,2,Barcelona,Villarreal,lionel messi,neymar,NA,NA,11,1,0,3,3,2,1,0
M3U7BqZ9/,M3U7BqZ948,48,43,"Corner,  Barcelona. Conceded by Sergio Asenjo.",2,NA,2,Barcelona,Villarreal,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ949,49,45,Attempt saved. Luis Suarez (Barcelona) right footed shot from outside the box is saved in the centre of the goal. Assisted by Lucas Digne.,1,12,2,Barcelona,Villarreal,luis suarez,lucas digne,NA,NA,5,1,0,15,1,1,1,0
M3U7BqZ9/,M3U7BqZ953,53,49,"Goal!  Villarreal 1, Barcelona 0. Nicola Sansone (Villarreal) right footed shot from the right side of the box to the bottom left corner. Assisted by Alexandre Pato following a fast break.",1,12,1,Villarreal,Barcelona,nicola sansone,alexandre pato,NA,NA,3,1,1,11,1,1,1,1
M3U7BqZ9/,M3U7BqZ954,54,52,Foul by Manu Trigueros (Villarreal).,3,NA,1,Villarreal,Barcelona,manu trigueros,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ955,55,52,Neymar (Barcelona) wins a free kick on the left wing.,8,NA,2,Barcelona,Villarreal,neymar,NA,NA,NA,NA,NA,0,4,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ956,56,53,Attempt saved. Neymar (Barcelona) right footed shot from the left side of the box is saved in the centre of the goal. Assisted by Lionel Messi.,1,12,2,Barcelona,Villarreal,neymar,lionel messi,NA,NA,5,1,0,9,1,1,1,0
M3U7BqZ9/,M3U7BqZ957,57,56,Foul by Neymar (Barcelona).,3,NA,2,Barcelona,Villarreal,neymar,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ958,58,56,Mateo Musacchio (Villarreal) wins a free kick in the defensive half.,8,NA,1,Villarreal,Barcelona,mateo musacchio,NA,NA,NA,NA,NA,0,2,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ959,59,60,Foul by Nicola Sansone (Villarreal).,3,NA,1,Villarreal,Barcelona,nicola sansone,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ960,60,60,Sergio Busquets (Barcelona) wins a free kick in the attacking half.,8,NA,2,Barcelona,Villarreal,sergio busquets,NA,NA,NA,NA,NA,0,1,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ961,61,62,Attempt blocked. Lionel Messi (Barcelona) left footed shot from outside the box is blocked. Assisted by Sergi Roberto.,1,12,2,Barcelona,Villarreal,lionel messi,sergi roberto,NA,NA,2,3,0,15,2,1,1,0
M3U7BqZ9/,M3U7BqZ962,62,68,"Substitution, Barcelona. Denis Suarez replaces Andre Gomes.",7,NA,2,Barcelona,Villarreal,NA,NA,denis suarez,andre gomes,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ963,63,68,Attempt missed. Andres Iniesta (Barcelona) left footed shot from outside the box misses to the right. Assisted by Lionel Messi.,1,12,2,Barcelona,Villarreal,andres iniesta,lionel messi,NA,NA,9,2,0,15,2,1,1,0
M3U7BqZ9/,M3U7BqZ964,64,70,Foul by Jaume Costa (Villarreal).,3,NA,1,Villarreal,Barcelona,jaume costa,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ965,65,70,Luis Suarez (Barcelona) wins a free kick on the right wing.,8,NA,2,Barcelona,Villarreal,luis suarez,NA,NA,NA,NA,NA,0,5,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ966,66,70,Jaume Costa (Villarreal) is shown the yellow card for a bad foul.,4,NA,1,Villarreal,Barcelona,jaume costa,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ967,67,71,"Attempt missed. Javier Mascherano (Barcelona) header from the centre of the box is close, but misses the top left corner. Assisted by Lionel Messi with a cross following a set piece situation.",1,12,2,Barcelona,Villarreal,javier mascherano,lionel messi,NA,NA,12,2,0,3,3,2,2,0
M3U7BqZ9/,M3U7BqZ968,68,71,"Substitution, Barcelona. Arda Turan replaces Lucas Digne.",7,NA,2,Barcelona,Villarreal,NA,NA,arda turan,lucas digne,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ969,69,72,Attempt blocked. Lionel Messi (Barcelona) left footed shot from the centre of the box is blocked.,1,NA,2,Barcelona,Villarreal,lionel messi,NA,NA,NA,2,3,0,3,2,0,1,0
M3U7BqZ9/,M3U7BqZ970,70,72,"Corner,  Barcelona. Conceded by Bruno.",2,NA,2,Barcelona,Villarreal,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ971,71,73,Lionel Messi (Barcelona) hits the left post with a left footed shot from the centre of the box. Assisted by Andres Iniesta following a corner.,1,12,2,Barcelona,Villarreal,lionel messi,andres iniesta,NA,NA,7,4,0,3,2,1,3,0
M3U7BqZ9/,M3U7BqZ973,73,74,Mario (Villarreal) wins a free kick in the defensive half.,8,NA,1,Villarreal,Barcelona,mario,NA,NA,NA,NA,NA,0,2,NA,0,NA,0
M3U7BqZ9/,M3U7BqZ974,74,75,Attempt blocked. Roberto Soriano (Villarreal) right footed shot from outside the box is blocked. Assisted by Jonathan dos Santos.,1,12,1,Villarreal,Barcelona,roberto soriano,jonathan dos santos,NA,NA,2,3,0,15,1,1,1,0
M3U7BqZ9/,M3U7BqZ975,75,75,Attempt saved. Luis Suarez (Barcelona) left footed shot from the right side of the box is saved in the centre of the goal. Assisted by Lionel Messi.,1,12,2,Barcelona,Villarreal,luis suarez,lionel messi,NA,NA,5,1,0,11,2,1,1,0
M3U7BqZ9/,M3U7BqZ976,76,75,Attempt missed. Neymar (Barcelona) left footed shot from the centre of the box is just a bit too high. Assisted by Arda Turan with a headed pass.,1,12,2,Barcelona,Villarreal,neymar,arda turan,NA,NA,1,2,0,3,2,3,1,0
